Depth,DepthTo,HorizonNum,Matrix,Mottle_1,Humose,Roots,BoundaryDistinct_Text,BoundaryDistinct_Percent,BoundaryDistinct,Total_Nitrogen,pH_H2O,Exchangeable_K,Exchangeable_Mg,BaseSaturation,TextureClass,series_id,BoundaryShape_Text,BoundaryShape_Description,StoneAbundance_Text,StoneAbundance_Percent,StoneAbundance,StoneSize_Text,StoneSize_Description,StoneSize,OrganicCarbon,CEC,Exchangeable_Ca,StoneShape_Text,StructureType_Text,Sand,Silt,Clay,Plasticity_Text,Plasticity_Description,StructureGrade_Text,StructureSize_Text,StructureSize_Percent,StructureSize,RootSize_Description,RootSize_Text,RootSize,RootAbundance_Text,RootAbundance_NumPer100,RootAbundance,CaCO3_Percent,CaCO3_Text,Stickiness_Text,Stickiness_Description,StructureStrength_Text,StructureStrength_Description,PackingDensity_Text,PackingDensity_Percent,PackingDensity,Total_Carbon,LossOnIgnition,Exchangeable_Na,StoneType_Text,MottleAbundanceText1,MottleAbundancePercent1,MottleAbundance1,MottleSharpnessText1,MottleSharpnessPercent1,MottleSharpness1,MottleSizeText1,MottleSizePercent1,MottleSize1,MottleContrast1,Texture,MottleSizeText2,MottleSizePercent2,MottleSize2,MottleAbundanceText2,MottleAbundancePercent2,MottleAbundance2,MottleSharpnessText2,MottleSharpnessPercent2,MottleSharpness2,MottleContrast2
22,50.0,2,10YR21,,1,1,Abrupt,0-2 cm,A 0-2 cm,0.95300000905991,5.1900000572205,0.053005132824183,0.88155519962311,87.0,Loam,0170ATD,Wavy,Pockets less deep than wide,Very few,0-2 %,VF 0-2 %,6mm -2 cm,Medium gravels,M 6mm - 2cm,14.133299827576,14.353364944458,11.314153671265,Flat/platy,Sub-angular blocky,44.0,36.0,20.0,Plastic,Wire formable but breaks if bent into a ring; deformation by slight to moderate force,Moderate,Fine,5-10mm,FI 5-10mm,Medium,2-5 mm,M 2-5 mm,Common,5-20,C 5-20,,,Sticky,"Soil material adheres to thumb and finger after release of pressure, and tends to stretch and pull apart rather than coming away from each digit",Moderate,Aggregates are visible in situ and there is a distinct arrangement of material. When disturbed it breaks into a mixture of entire and broken aggregates.,Very Low,< 1.20 t m-3,VL < 1.20 t m-3,15.433300018311,26.849100112915,0.22452189028263,Shale,,,,,,,,,,,,,,,,,,,,,
50,80.0,3,10YR53,75YR56,1,1,,,,0.38969999551773,5.3200001716614,0.0083464719355106,0.29278293251991,58.0,Silt Loam,0170ATD,,,Many,15-40 %,M 15-40 %,6mm -2 cm,Medium gravels,M 6mm - 2cm,6.9532999992371,6.6597561836243,3.4644320011139,Flat/platy,Massive ,21.0,58.0,21.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,,,,,Fine,0.5-2 mm,F 0.5-2 mm,Few,20-50,F 20-50,,,Slightly sticky,"Soil material adheres to thumb and finger after release of pressure, but it is easily removed.",,,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,7.4867000579834,,0.12405716627836,Shale,Few,2-5 %,F 2-5 %,< 0.5 mm,Sharp,S < 0.5 mm,Fine,2-6mm,F 2-6mm,Distinct,Coarse silty,,,,,,,,,,
0,25.0,1,5YR251,,0,0,Abrupt,0-2 cm,A 0-2 cm,,6.1999998092651,,,0.0,,0170GN,Smooth,Nearly plane surface,,,,,,,43.5,,,,Crumbly,,,,,,Strong,Fine,1-2mm,FI 1-2mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,110.0,2,5YR252,,0,0,Clear,2-5 cm,C 2-5 cm,,4.6999998092651,,,0.0,,0170GN,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,150.0,3,5YR32,,0,0,,,,,4.5,,,0.0,,0170GN,,,,,,,,,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19.0,1,75YR251,,1,1,,,,1.2400000095367,5.5999999046326,0.65467697381973,1.0822499990463,81.0,,0180ATC,,,None,0 %,N 0 %,,,,24.10000038147,27.257392883301,19.911500930786,,,,,,,,,,,,,,,,,,0,No reaction,,,,,Very Low,< 1.20 t m-3,VL < 1.20 t m-3,24.10000038147,42.164798736572,0.34755399823189,,,,,,,,,,,,,,,,,,,,,,
19,42.0,2,5YR251,,1,0,,,,1.210000038147,4.5500001907349,0.44147399067879,1.4394099712372,45.0,,0180ATC,,,None,0 %,N 0 %,,,,26.39999961853,17.430770874023,5.5975499153137,,,,,,,,,,,,,,,,,,0,No reaction,,,,,Very Low,< 1.20 t m-3,VL < 1.20 t m-3,26.39999961853,47.30350112915,0.40879300236702,,,,,,,,,,,,,,,,,,,,,,
42,57.0,3,5YR31,,1,0,,,,1.1299999952316,4.4099998474121,0.3486399948597,0.9875990152359,28.0,,0180ATC,,,None,0 %,N 0 %,,,,35.700000762939,13.827806472778,2.0334300994873,,,,,,,,,,,,,,,,,,0,No reaction,,,,,Very Low,< 1.20 t m-3,VL < 1.20 t m-3,35.700000762939,59.056400299072,0.47218000888824,,,,,,,,,,,,,,,,,,,,,,
57,100.0,4,10R53,,0,0,,,,0.028000000864267,4.6500000953674,0.050383601337671,0.058419298380613,34.0,Sandy Loam,0180ATC,,,Dominant,> 80  %,D > 80  %,2-6 mm,Fine gravels,F 2-6 mm,0.37099999189377,1.4306042194366,0.2929750084877,Angular,,69.0,27.0,4.0,,,,,,,,,,,,,0,No reaction,,,,,High,1.60 - 1.75 t m-3,H 1.60 -1.75 t m-3,0.51800000667572,,0.082000002264977,Sandstone,,,,,,,,,,,Coarse loamy,,,,,,,,,,
0,33.0,1,5YR251,,0,0,Abrupt,0-2 cm,A 0-2 cm,0.63999998569489,7.3000001907349,16.0,390.0,0.0,,0180GM,Smooth,Nearly plane surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,59.0,2,5YR251,,0,0,Abrupt,0-2 cm,A 0-2 cm,0.80000001192093,5.8000001907349,19.0,474.0,0.0,,0180GM,Smooth,Nearly plane surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,80.0,3,5YR58,,0,0,,,,0.81999999284744,5.3000001907349,18.0,353.0,0.0,,0180GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10.0,1,5YR252,,0,0,Clear,2-5 cm,C 2-5 cm,,3.7000000476837,,,0.0,,0180TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15.0,2,5YR32,,0,0,Clear,2-5 cm,C 2-5 cm,,3.5999999046326,,,0.0,,0180TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,60.0,3,5YR33,,0,0,Clear,2-5 cm,C 2-5 cm,,3.7999999523163,,,0.0,,0180TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,125.0,4,5YR43,,0,0,Clear,2-5 cm,C 2-5 cm,,4.1999998092651,,,0.0,,0180TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,150.0,5,5YR43,,0,0,,,,,4.0,,,0.0,,0180TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10.0,1,10YR21,,0,0,,,,2.3699998855591,5.4000000953674,0.95999997854233,5.2800002098083,47.0,,0210KR,,,,,,,,,41.200000762939,100.80000305176,38.439998626709,,,,,,Non-plastic,No wire is formable,,,,,,,,Common,50-200,C 50-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20.0,2,10YR31,,0,0,,,,,5.1999998092651,0.31999999284744,6.0799999237061,45.0,,0210KR,,,,,,,,,0.0,116.80000305176,44.080001831055,,,,,,Non-plastic,No wire is formable,,,,,,,,Common,50-200,C 50-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,30.0,3,10YR32,,0,0,,,,3.7999999523163,5.0999999046326,0.15999999642372,5.2800002098083,40.0,,0210KR,,,,,,,,,37.200000762939,119.19999694824,40.319999694824,,,,,,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,,,,,,,,Common,50-200,C 50-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,40.0,4,10YR31,,0,0,,,,,5.0999999046326,0.0099999997764826,4.8800001144409,45.0,,0210KR,,,,,,,,,0.0,119.19999694824,47.799999237061,,Granular,19.0,43.0,38.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,Weak,,,,,,,Common,50-200,C 50-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,50.0,5,10YR42,,0,0,Clear,2-5 cm,C 2-5 cm,,4.6999998092651,0.0099999997764826,4.4800000190735,37.0,,0210KR,Smooth,Nearly plane surface,,,,,,,30.0,106.40000152588,33.720001220703,,Granular,10.0,52.0,38.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,Weak,,,,,,,Many,> 200,M > 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,60.0,6,10YR42,,0,0,Clear,2-5 cm,C 2-5 cm,,4.8000001907349,0.03999999910593,1.7200000286102,49.0,,0210KR,Smooth,Nearly plane surface,Few,2-5 %,F 2-5 %,2-6 cm,Coarse gravels,C 2-6 cm,7.3000001907349,29.200000762939,11.949999809265,,Massive ,35.0,44.0,21.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,,,,,,,,Common,50-200,C 50-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,80.0,7,25yN6,,0,0,,,,,6.9000000953674,0.0099999997764826,1.2200000286102,0.0,,0210KR,,,Common,5-15 %,C 5-15 %,2-6 cm,Coarse gravels,C 2-6 cm,1.7999999523163,8.1999998092651,7.2600002288818,,Massive ,57.0,26.0,17.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,,,,,,,,Few,20-50,F 20-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15.0,1,5YR251,,0,0,Clear,2-5 cm,C 2-5 cm,2.0,6.1999998092651,,,0.0,,0210PT,Smooth,Nearly plane surface,,,,,,,47.700000762939,,,,,,,,,,,,,,,,,Common,50-200,C 50-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,45.0,2,5YR251,,0,0,Clear,2-5 cm,C 2-5 cm,2.1900000572205,,,,0.0,,0210PT,Smooth,Nearly plane surface,,,,,,,46.900001525879,,,,,,,,,,,,,,,,,Many,> 200,M > 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,100.0,3,,,0,0,Abrupt,0-2 cm,A 0-2 cm,0.94999998807907,,,,0.0,,0210PT,,,,,,,,,10.39999961853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10.0,1,10YR21,None,1,1,Clear,2-5 cm,C 2-5 cm,2.623300075531,6.5029997825623,0.87964963912964,5.2641544342041,100.0,,0270BR,Smooth,Nearly plane surface,None,0 %,N 0 %,,,,30.530000686646,45.205280303955,110.3599319458,,Sub-angular blocky,,,,Plastic,Wire formable but breaks if bent into a ring; deformation by slight to moderate force,Moderate,Fine,5-10mm,FI 5-10mm,Fine,0.5-2 mm,F 0.5-2 mm,Common,50-200,C 50-200,,,Slightly sticky,"Soil material adheres to thumb and finger after release of pressure, but it is easily removed.",Weak to moderate,Show weak and moderate properties,Low,1.20 - 1.40 t m-3,L 1.20 - 1.40 t m-3,30.53330039978,62.893398284912,0.30066242814064,,,,,,,,,,,,,,,,,,,,,,
10,40.0,2,10YR21,75YR34,1,1,Clear,2-5 cm,C 2-5 cm,2.336699962616,6.3829998970032,0.27565118670464,7.8732323646545,100.0,,0270BR,Smooth,Nearly plane surface,Very few,0-2 %,VF 0-2 %,2-6 cm,Coarse gravels,C 2-6 cm,36.669998168945,47.651424407959,147.64811706543,Rounded,Prismatic,,,,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,Strong,Medium,20-50mm,ME 20-50mm,Fine,0.5-2 mm,F 0.5-2 mm,Many,> 200,M > 200,,,Slightly sticky,"Soil material adheres to thumb and finger after release of pressure, but it is easily removed.",Moderate,Aggregates are visible in situ and there is a distinct arrangement of material. When disturbed it breaks into a mixture of entire and broken aggregates.,Low,1.20 - 1.40 t m-3,L 1.20 - 1.40 t m-3,36.666698455811,68.676300048828,0.21784757077694,Siliceous stones,Few,2-5 %,F 2-5 %,< 0.5 mm,Sharp,S < 0.5 mm,Medium,6-20mm,M 6-20mm,Distinct,,,,,,,,,,,
40,60.0,3,10YR21,,1,1,,,,2.3399999141693,6.6199998855591,0.12901975214481,12.024850845337,100.0,,0270BR,,,None,0 %,N 0 %,,,,42.470001220703,47.234649658203,194.25651550293,,Angular blocky,,,,Non-plastic,No wire is formable,Weak,Medium,10-20mm,ME 10-20mm,Fine,0.5-2 mm,F 0.5-2 mm,Common,50-200,C 50-200,,,Slightly sticky,"Soil material adheres to thumb and finger after release of pressure, but it is easily removed.",Moderate,Aggregates are visible in situ and there is a distinct arrangement of material. When disturbed it breaks into a mixture of entire and broken aggregates.,Low,1.20 - 1.40 t m-3,L 1.20 - 1.40 t m-3,42.466701507568,80.062301635742,0.30170097947121,,,,,,,,,,,,,,,,,,,,,,
60,80.0,4,,,0,0,,,,,,,,,,0270BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20.0,1,75YR33,None,1,1,Clear,2-5 cm,C 2-5 cm,0.5120000243187,6.3000001907349,0.3858670592308,0.89165067672729,100.0,Sandy Clay Loam,0300BD,Smooth,Nearly plane surface,Common,5-15 %,C 5-15 %,2-6 mm,Fine gravels,F 2-6 mm,4.3800001144409,19.081409454346,19.610746383667,Sub angular,Sub-angular blocky,51.0,25.0,24.0,Non-plastic,No wire is formable,Moderate,Fine to medium,5-20mm,FM 5-20mm,Fine,0.5-2 mm,F 0.5-2 mm,Many,> 200,M > 200,0-2%,Audible but not visible,Non-sticky,No soil material adheres to thumb and finger after release of pressure,,,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,4.9699997901917,,0.082000002264977,Sandstone,,,,,,,,,,,Coarse loamy,,,,,,,,,,
20,30.0,2,75YR33,None,1,1,Abrupt,0-2 cm,A 0-2 cm,0.29800000786781,7.6999998092651,0.11437290161848,0.56799709796906,100.0,Sandy Loam,0300BD,Broken,Discontinuous,Common,5-15 %,C 5-15 %,6mm -2 cm,Medium gravels,M 6mm - 2cm,2.3800001144409,20.57851600647,24.64981842041,Sub angular,Sub-angular blocky,53.0,31.0,16.0,Non-plastic,No wire is formable,Moderate,Fine,5-10mm,FI 5-10mm,Fine,0.5-2 mm,F 0.5-2 mm,Common,50-200,C 50-200,0-2%,Audible but not visible,Non-sticky,No soil material adheres to thumb and finger after release of pressure,Weak to moderate,Show weak and moderate properties,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,3.8099999427795,,0.082000002264977,Sandstone,,,,,,,,,,,Coarse loamy,,,,,,,,,,
30,50.0,3,5YR46,None,0,1,Abrupt,0-2 cm,A 0-2 cm,0.13600000739098,7.7699999809265,0.08118936419487,0.37918657064438,100.0,Sandy Loam,0300BD,Broken,Discontinuous,Abundant,40-80 %,A 40-80 %,6mm -2 cm,Medium gravels,M 6mm - 2cm,0.8740000128746,13.065306663513,16.603809356689,Sub angular,Sub-angular blocky,62.0,26.0,12.0,Non-plastic,No wire is formable,Weak,Fine,5-10mm,FI 5-10mm,Very fine,< 0.5 mm,VF < 0.5 mm,Very few,1-20,V 1-20,5-15 %,Strongly visible,Non-sticky,No soil material adheres to thumb and finger after release of pressure,,,Medium,1.40 - 1.60 t m-3,M 1.40 - 1.60 t m-3,3.1600000858307,,0.082000002264977,Limestone,,,,,,,,,,,Coarse loamy,,,,,,,,,,
0,15.0,1,10YR41,,0,0,Clear,2-5 cm,C 2-5 cm,0.090000003576279,8.1999998092651,,,0.0,,0300SE,Smooth,Nearly plane surface,,,,,,,0.80000001192093,4.4000000953674,,,Single Grain ,97.0,2.0,1.0,,,,,,,,,,Many,> 200,M > 200,2-5 %,Visible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,28.0,2,10YR51,,0,0,Clear,2-5 cm,C 2-5 cm,0.050000000745058,8.3000001907349,,,0.0,,0300SE,Smooth,Nearly plane surface,,,,,,,0.5,3.5999999046326,,,Single Grain ,97.0,2.0,1.0,,,,,,,,,,Few,20-50,F 20-50,2-5 %,Visible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,36.0,3,10YR52,,0,0,Clear,2-5 cm,C 2-5 cm,0.050000000745058,8.3000001907349,,,0.0,,0300SE,Smooth,Nearly plane surface,,,,,,,0.60000002384186,3.0,,,Single Grain ,98.0,1.0,1.0,,,,,,,,,,Few,20-50,F 20-50,2-5 %,Visible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,58.0,4,10YR31,,0,0,Clear,2-5 cm,C 2-5 cm,0.090000003576279,8.1000003814697,,,0.0,,0300SE,Smooth,Nearly plane surface,,,,,,,1.1000000238419,8.3999996185303,,,Single Grain ,96.0,3.0,1.0,,,,,,,,,,Few,20-50,F 20-50,2-5 %,Visible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,91.0,5,10YR42,,0,0,,,,0.029999999329448,8.6000003814697,,,0.0,,0300SE,,,,,,,,,0.30000001192093,,,,Single Grain ,98.0,1.0,1.0,,,,,,,,,,Few,20-50,F 20-50,2-5 %,Visible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15.0,1,75YR253,None,0,1,Abrupt,0-2 cm,A 0-2 cm,1.3300000429153,6.0199999809265,1.0722899436951,4.1488800048828,100.0,Clay loam,0310CL,Irregular,Pockets more deep than wide,Common,5-15 %,C 5-15 %,6-20 cm,Stones,S 6-20 cm,20.89999961853,38.744441986084,59.260299682617,Sub rounded,Crumbly,21.0,47.0,32.0,Non-plastic,No wire is formable,Moderate,Very fine,< 5mm,VF < 5mm,Fine,0.5-2 mm,F 0.5-2 mm,Many,> 200,M > 200,0,No reaction,Non-sticky,No soil material adheres to thumb and finger after release of pressure,,,Very Low,< 1.20 t m-3,VL < 1.20 t m-3,20.89999961853,,0.94442600011826,Limestone,,,,,,,,,,,,,,,,,,,,,
15,45.0,2,75YR33,None,0,1,Clear,2-5 cm,C 2-5 cm,0.46700000762939,7.789999961853,0.14323300123215,0.7902529835701,100.0,Sandy Loam,0310CL,Wavy,Pockets less deep than wide,Many,15-40 %,M 15-40 %,6mm -2 cm,Medium gravels,M 6mm - 2cm,9.5,32.928581237793,38.870399475098,Sub angular,Crumbly,57.0,33.0,10.0,Non-plastic,No wire is formable,Moderate,Fine,5-10mm,FI 5-10mm,Fine,0.5-2 mm,F 0.5-2 mm,Many,> 200,M > 200,0-2%,Audible but not visible,Non-sticky,No soil material adheres to thumb and finger after release of pressure,,,Low,1.20 - 1.40 t m-3,L 1.20 - 1.40 t m-3,11.800000190735,,0.25415399670601,Limestone,,,,,,,,,,,Coarse loamy,,,,,,,,,,
